module,line,category,reachability,hit_count,reason,closure_plan,owner,date,waiver,source_text
alu.v,65,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,"`ALU_SEQ    : result = {31'b0, eq};"
alu.v,67,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,default     : result = 32'h0;
bp.v,35,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,"output            bp_predict_taken,"
bp.v,36,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,"output     [31:0] bp_predict_target,"
bp.v,39,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,"input             upd_valid,"
bp.v,41,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,"input             upd_taken,"
bp.v,54,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,reg                 valid0   [0:N_SETS-1];
bp.v,59,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,reg                 valid1   [0:N_SETS-1];
bp.v,64,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,reg                 lru      [0:N_SETS-1];           // 0 = way0 是 LRU；1 = way1 是 LRU
bp.v,72,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire rd_hit0 = valid0[rd_idx] && (tag0[rd_idx] == rd_tag);
