module,line,category,reachability,hit_count,reason,closure_plan,owner,date,waiver,source_text
alu.v,67,alu_default,reachable-by-illegal-or-unknown-alu-op-only,0,The ALU default arm is only reached if decode sends an unknown ALU op; in-scope ISA decode should not generate it.,Review as defensive default; waive if decode coverage proves all in-scope ALU ops are enumerated.,DV,2026-06-07,waiver-candidate,default     : result = 32'h0;
core.v,713,ras_mispredict_recovery,reachable,0,"Current RAS tests cover correct return prediction, not wrong RAS target recovery.",Add directed RAS pollution/overflow/mismatched-return test to force mem_ras_mispredict recovery.,DV,2026-06-07,none,wire        mem_ras_mispredict    = ex_mem_valid_r && ex_mem_pred_ras_r
core.v,893,ras_mispredict_recovery,reachable,0,"Current RAS tests cover correct return prediction, not wrong RAS target recovery.",Add directed RAS pollution/overflow/mismatched-return test to force mem_ras_mispredict recovery.,DV,2026-06-07,none,end else if (mem_ras_mispredict) begin
core.v,895,ras_mispredict_recovery,reachable,0,"Current RAS tests cover correct return prediction, not wrong RAS target recovery.",Add directed RAS pollution/overflow/mismatched-return test to force mem_ras_mispredict recovery.,DV,2026-06-07,none,pc_redirect     = 1'b1;
core.v,896,ras_mispredict_recovery,reachable,0,"Current RAS tests cover correct return prediction, not wrong RAS target recovery.",Add directed RAS pollution/overflow/mismatched-return test to force mem_ras_mispredict recovery.,DV,2026-06-07,none,redirect_target = mem_ras_actual_target;
csr.v,101,csr_high_counters,environment_limited,0,cycleh/instreth require upper 32-bit counter activity or directed CSR reads; current short simulations only prove low counters.,Add directed CSR read of cycleh/instreth and decide whether long-run counter overflow is required or waived.,DV,2026-06-07,none,`CSR_CYCLEH  : csr_rdata = cycle_cnt[63:32];
csr.v,103,csr_high_counters,environment_limited,0,cycleh/instreth require upper 32-bit counter activity or directed CSR reads; current short simulations only prove low counters.,Add directed CSR read of cycleh/instreth and decide whether long-run counter overflow is required or waived.,DV,2026-06-07,none,`CSR_INSTRETH: csr_rdata = instret_cnt[63:32];
csr.v,156,csr_explicit_write_mepc_mcause,reachable,0,Directed CSR tests write mscratch/mstatus/mie/mtvec but not explicit software writes to mepc/mcause.,Add directed CSR write/readback for mepc and mcause.,DV,2026-06-07,none,`CSR_MEPC    : mepc_reg    <= new_val;
csr.v,157,csr_explicit_write_mepc_mcause,reachable,0,Directed CSR tests write mscratch/mstatus/mie/mtvec but not explicit software writes to mepc/mcause.,Add directed CSR write/readback for mepc and mcause.,DV,2026-06-07,none,`CSR_MCAUSE  : mcause_reg  <= new_val;
csr.v,159,csr_write_default,reachable-by-unsupported-csr-write-only,0,Default CSR write arm is a defensive ignore path for unsupported CSR addresses.,Add unsupported CSR write test or waive as defensive default after CSR map review.,DV,2026-06-07,waiver-candidate,default      : ;
div.v,129,div_fsm_default,unreachable-by-legal-reset-fsm,0,Default FSM state recovery is defensive; legal reset and transitions should keep state in declared set.,Add SVA/FSM assertion or waive as defensive default.,DV,2026-06-07,waiver-candidate,default: state <= IDLE;
idu.v,102,fence_decode,reachable,0,Zifencei is in ISA scope but directed tests have not executed FENCE/FENCE.I decode paths enough to mark this line.,Add directed FENCE/FENCE.I decode smoke and Spike comparison if architecturally visible.,DV,2026-06-07,none,wire is_fence  = (opcode == `OPC_FENCE);
idu.v,173,decode_default_alu_op,reachable-by-unsupported-funct-only,0,Default ALU op arms are defensive decode fallbacks for unsupported or illegal funct combinations.,Add illegal/unsupported instruction decode test or waive after decode matrix review.,DV,2026-06-07,waiver-candidate,default     : alu_op = `ALU_ADD;
idu.v,185,decode_default_alu_op,reachable-by-unsupported-funct-only,0,Default ALU op arms are defensive decode fallbacks for unsupported or illegal funct combinations.,Add illegal/unsupported instruction decode test or waive after decode matrix review.,DV,2026-06-07,waiver-candidate,default     : alu_op = `ALU_ADD;
idu.v,191,branch_unsigned_and_default,reachable,0,Directed branch tests do not yet cover unsigned branch ALU selection and default branch compare fallback.,Add directed BLTU/BGEU plus unsupported branch funct trap/default decode test.,DV,2026-06-07,none,"`F3_BLTU, `F3_BGEU : alu_op = `ALU_SLTU;"
idu.v,192,branch_unsigned_and_default,reachable,0,Directed branch tests do not yet cover unsigned branch ALU selection and default branch compare fallback.,Add directed BLTU/BGEU plus unsupported branch funct trap/default decode test.,DV,2026-06-07,none,default            : alu_op = `ALU_SEQ;
ras.v,64,ras_push_edge,reachable,0,Current RAS directed test covers nested call/return but not empty-stack push edge and overflow/underflow combinations enough for all line points.,Add directed RAS empty/overflow/underflow sequence with observed push/pop pointer behavior.,DV,2026-06-07,none,if (ptr != 0)
ras.v,65,ras_push_edge,reachable,0,Current RAS directed test covers nested call/return but not empty-stack push edge and overflow/underflow combinations enough for all line points.,Add directed RAS empty/overflow/underflow sequence with observed push/pop pointer behavior.,DV,2026-06-07,none,stack[top_idx] <= push_val;
ras.v,67,ras_push_edge,reachable,0,Current RAS directed test covers nested call/return but not empty-stack push edge and overflow/underflow combinations enough for all line points.,Add directed RAS empty/overflow/underflow sequence with observed push/pop pointer behavior.,DV,2026-06-07,none,stack[0]       <= push_val;       // empty 時就視為 push 到 slot 0
